#isolate.id individual id of the isolate				
#sample.id sample id where the isolate is from				
#medium cultivation medium				
#temp cultivation temperature				
#oxygen conditions of the cultivation				
isolate.id	sample.id	medium	temp	oxygen
AAB_001.27F	A1	columbia	37	anaerobic
AAB_002.27F	A1	columbia	37	anaerobic
AAB_003.27F	A1	columbia	37	anaerobic
AAB_004.27F	A1	columbia	37	anaerobic
AAB_005.27F	A1	columbia	37	anaerobic
AAB_006.27F	A1	columbia	37	anaerobic
AAB_007.27F	B1	columbia	37	anaerobic
AAB_008.27F	B3	columbia	37	anaerobic
AAB_009.27F	B3	columbia	37	anaerobic
AAB_010.27F	B3	columbia	37	anaerobic
AAB_011.27F	B4	columbia	37	anaerobic
AAB_012.27F	B5	columbia	37	anaerobic
AAB_013.27F	B5	columbia	37	anaerobic
AAB_014.27F	B5	columbia	37	anaerobic
AAB_015.27F	B5	columbia	37	anaerobic
AAB_016.27F	B5	columbia	37	anaerobic
AAB_017.27F	B5	columbia	37	anaerobic
AAB_018.27F	C2	columbia	37	anaerobic
AAB_019.27F	C2	columbia	37	anaerobic
AAB_020.27F	C2	columbia	37	anaerobic
AAB_021.27F	C2	columbia	37	anaerobic
AAB_022.27F	C2	columbia	37	anaerobic
AAB_023.27F	C2	columbia	37	anaerobic
AAB_024.27F	C3	columbia	37	anaerobic
AAB_025.27F	C3	columbia	37	anaerobic
AAB_026.27F	C3	columbia	37	anaerobic
AAB_027.27F	C3	columbia	37	anaerobic
AAB_028.27F	C3	columbia	37	anaerobic
AAB_029.27F	C3	columbia	37	anaerobic
AAB_030.27F	C4	columbia	37	anaerobic
AAB_031.27F	C4	columbia	37	anaerobic
AAB_032.27F	C4	columbia	37	anaerobic
AAB_033.27F	C4	columbia	37	anaerobic
AAB_034.27F	C4	columbia	37	anaerobic
AAB_035.27F	C4	columbia	37	anaerobic
AAB_036.27F	C4	columbia	37	anaerobic
AAB_037.27F	C6	columbia	37	anaerobic
AAB_038.27F	C6	columbia	37	anaerobic
AAB_039.27F	C6	columbia	37	anaerobic
AAB_040.27F	C6	columbia	37	anaerobic
AABH_001.27F	A1	bhi	37	anaerobic
AABH_002.27F	A1	bhi	37	anaerobic
AABH_003.27F	A1	bhi	37	anaerobic
AABH_004.27F	A1	bhi	37	anaerobic
AABH_005.27F	A1	bhi	37	anaerobic
AABH_006.27F	B3	bhi	37	anaerobic
AABH_007.27F	B4	bhi	37	anaerobic
AABH_008.27F	B4	bhi	37	anaerobic
AABH_009.27F	B6	bhi	37	anaerobic
AABH_010.27F	B6	bhi	37	anaerobic
AABH_011.27F	C3	bhi	37	anaerobic
AABH_012.27F	C3	bhi	37	anaerobic
AABH_013.27F	C3	bhi	37	anaerobic
AABH_014.27F	C7	bhi	37	anaerobic
AABH_015.27F	C7	bhi	37	anaerobic
AABR_001.27F	A2	bhi	37	anaerobic
AABR_002.27F	A2	bhi	37	anaerobic
AABR_003.27F	A8	bhi	37	anaerobic
AAPC_001.27F	A6	pca	37	anaerobic
AAPC_002.27F	A6	pca	37	anaerobic
AAPC_003.27F	A6	pca	37	anaerobic
AAPC_004.27F	B1	pca	37	anaerobic
AAPC_005.27F	B1	pca	37	anaerobic
AAPC_006.27F	B1	pca	37	anaerobic
AAPC_007.27F	B1	pca	37	anaerobic
AAPC_008.27F	B1	pca	37	anaerobic
AAPC_009.27F	B1	pca	37	anaerobic
