sample.id	fat	satFat	carbohydrates	sugar	fibres	protein	salt	energy.kcal	iron.mg
A1	19	5.6	3.5	0	1.3	17	0.75	252	0
A4	17	5.7	4.8	0	2.1	15	0.75	238	0
B1	1.7	0.5	17	2.5	3.7	10	1.5	131	0
B3	1.6	0.5	13	2	3.8	16	1.8	139	0
B2	7.9	2.9	3.6	1	5	17.3	1	165	0
B6	13	3.6	2.8	0.5	6	14	0.73	198	0
B7	10	4.6	4.4	0.7	4.6	14.8	1.1	176	0
C1	4.7	0.4	1.2	0.1	9.8	22.5	1.4	157	0
C2	6	0.7	8	1	4	16	1.5	158	0
C3	8.4	0.8	3.1	1.2	4.8	17.7	1	171	0
C4	8.4	0.8	3.6	1.9	4.7	17.7	1	172	0
A7	17	2.1	5	1.9		15	1.9	239	0
A8	18	15	4.2	0.7		19	1.8	255	0
C5	11	1.1	4.9	2.3		17	1.6	202	0
C6	13	1.2	4.6	1.3		17	1.9	216	0
C7	13	1.2	6.5	1.4		17	1.9	224	0
D4	10	1.5	4.2	1.1		26	2.4	220	0
D6	9.4	1.2	5.9	1.6		19	1.9	195	0
D7	10	1.5	4.1	0.9		26	2.3	219	0
D8	9.8	1.3	4.6	2.2		25	2.2	217	0
A6	9.9	1.3	14	1.5	3.1	11.2	1.5	131	0
B8	9.8	1.5	1	0.4	1.6	18.4	1.3	168	0
D1	10	1.4	4	1.3	4.1	27	1.8	225	0
D3	10	1.5	4.2	1.1	4.5	26	2.4	220	0
D5	13	3.7	7.7	3	5.7	13	1.5	211	0
B4	4.8	0.6	4.7	0.6	8	21	1.7	164	0
B5	12	3.6	6	0.7	5.2	8.5	1.3	179	6.2
A2	18	15	3.9	1.3	6.4	19	1.8	263	5
A3	18	8.6	3.5	0.2	5.6	14	1.8	236	3.9
A5	18	9.3	4.5	1.9	6	16	1.9	249	4
D2	9.4	1.2	5.9	1.6	6.5	19	1.9	195	4.2
C8	10	4.7	6.3	1.1	4.6	18	1.3	195	2.1
