"site" "m" "method" "order" "SC" "qD" "qD.LCL" "qD.UCL"
"1" "A1" 2463 "bysize" 0 0.988 138.768 136.965 140.571
"2" "A1" 2463 "bysize" 1 0.988 30.699 30.048 31.349
"3" "A1" 2463 "bysize" 2 0.988 11.162 10.889 11.435
"4" "B2" 2463 "bysize" 0 0.996 49.595 48.258 50.933
"5" "B2" 2463 "bysize" 1 0.996 10.073 9.869 10.278
"6" "B2" 2463 "bysize" 2 0.996 4.648 4.548 4.747
"7" "B3" 2463 "bysize" 0 0.989 110.064 107.952 112.175
"8" "B3" 2463 "bysize" 1 0.989 30.395 29.878 30.911
"9" "B3" 2463 "bysize" 2 0.989 16.331 16.001 16.661
"10" "B4" 2463 "bysize" 0 0.987 144.569 142.472 146.665
"11" "B4" 2463 "bysize" 1 0.987 22.089 21.512 22.666
"12" "B4" 2463 "bysize" 2 0.987 7.215 7.036 7.393
"13" "B5" 2463 "bysize" 0 1 33.972 32.461 35.483
"14" "B5" 2463 "bysize" 1 1 3.105 2.913 3.297
"15" "B5" 2463 "bysize" 2 1 1.687 1.615 1.759
"16" "B6" 2463 "bysize" 0 0.988 58.27 57.445 59.095
"17" "B6" 2463 "bysize" 1 0.988 4.247 4.222 4.272
"18" "B6" 2463 "bysize" 2 0.988 2.701 2.69 2.711
"19" "B8" 2463 "bysize" 0 0.996 138.657 137.057 140.258
"20" "B8" 2463 "bysize" 1 0.996 51.44 49.94 52.94
"21" "B8" 2463 "bysize" 2 0.996 25.596 24.518 26.675
"22" "C1" 2463 "bysize" 0 0.997 122.172 121.442 122.902
"23" "C1" 2463 "bysize" 1 0.997 49.69 48.978 50.402
"24" "C1" 2463 "bysize" 2 0.997 21.261 20.733 21.789
"25" "C3" 2463 "bysize" 0 0.991 84.968 82.646 87.289
"26" "C3" 2463 "bysize" 1 0.991 4.137 3.977 4.297
"27" "C3" 2463 "bysize" 2 0.991 1.761 1.726 1.796
"28" "A2" 2463 "bysize" 0 0.989 118.577 116.644 120.51
"29" "A2" 2463 "bysize" 1 0.989 41.076 40.456 41.696
"30" "A2" 2463 "bysize" 2 0.989 22.782 22.272 23.292
"31" "C4" 2463 "bysize" 0 1 29 25.336 32.664
"32" "C4" 2463 "bysize" 1 1 17.701 16.198 19.203
"33" "C4" 2463 "bysize" 2 1 12.619 11.149 14.088
"34" "C5" 2463 "bysize" 0 0.992 78.577 76.786 80.367
"35" "C5" 2463 "bysize" 1 0.992 12.315 12.064 12.566
"36" "C5" 2463 "bysize" 2 0.992 6.349 6.237 6.462
"37" "C6" 2463 "bysize" 0 1 61 59.797 62.203
"38" "C6" 2463 "bysize" 1 1 9.654 8.964 10.344
"39" "C6" 2463 "bysize" 2 1 3.412 3.208 3.617
"40" "C8" 2463 "bysize" 0 0.987 107.693 105.858 109.529
"41" "C8" 2463 "bysize" 1 0.987 13.407 13.133 13.682
"42" "C8" 2463 "bysize" 2 0.987 4.061 3.981 4.14
"43" "D1" 2463 "bysize" 0 0.991 128.437 127.107 129.767
"44" "D1" 2463 "bysize" 1 0.991 44.235 43.677 44.793
"45" "D1" 2463 "bysize" 2 0.991 25.372 25.039 25.706
"46" "D2" 2463 "bysize" 0 0.999 10.44 9.734 11.147
"47" "D2" 2463 "bysize" 1 0.999 2.508 2.48 2.535
"48" "D2" 2463 "bysize" 2 0.999 2.205 2.19 2.22
"49" "D3" 2463 "bysize" 0 0.999 15.073 14.458 15.689
"50" "D3" 2463 "bysize" 1 0.999 2.781 2.736 2.825
"51" "D3" 2463 "bysize" 2 0.999 1.769 1.748 1.791
"52" "D4" 2463 "bysize" 0 0.999 12.32 11.802 12.839
"53" "D4" 2463 "bysize" 1 0.999 1.447 1.428 1.465
"54" "D4" 2463 "bysize" 2 0.999 1.168 1.161 1.175
"55" "D5" 2463 "bysize" 0 0.999 6.169 5.714 6.624
"56" "D5" 2463 "bysize" 1 0.999 1.253 1.24 1.266
"57" "D5" 2463 "bysize" 2 0.999 1.111 1.104 1.117
"58" "A3" 2463 "bysize" 0 0.995 85.167 83.977 86.357
"59" "A3" 2463 "bysize" 1 0.995 11.971 11.699 12.244
"60" "A3" 2463 "bysize" 2 0.995 3.816 3.743 3.888
"61" "D6" 2463 "bysize" 0 0.999 8.522 7.971 9.072
"62" "D6" 2463 "bysize" 1 0.999 2.092 2.067 2.116
"63" "D6" 2463 "bysize" 2 0.999 1.648 1.63 1.666
"64" "D7" 2463 "bysize" 0 0.998 23.009 22.034 23.984
"65" "D7" 2463 "bysize" 1 0.998 3.815 3.758 3.871
"66" "D7" 2463 "bysize" 2 0.998 2.721 2.695 2.747
"67" "D8" 2463 "bysize" 0 0.998 19.137 18.397 19.876
"68" "D8" 2463 "bysize" 1 0.998 1.723 1.695 1.751
"69" "D8" 2463 "bysize" 2 0.998 1.267 1.256 1.277
"70" "A4" 2463 "bysize" 0 0.991 116.19 114.247 118.133
"71" "A4" 2463 "bysize" 1 0.991 37.535 36.92 38.149
"72" "A4" 2463 "bysize" 2 0.991 17.35 16.868 17.832
"73" "A5" 2463 "bysize" 0 0.999 14.536 13.944 15.128
"74" "A5" 2463 "bysize" 1 0.999 2.356 2.326 2.387
"75" "A5" 2463 "bysize" 2 0.999 1.645 1.63 1.66
"76" "A6" 2463 "bysize" 0 0.986 139.73 138.03 141.429
"77" "A6" 2463 "bysize" 1 0.986 45.706 45.123 46.289
