"isolate.id"	"sseqid"	"sample.id"	"medium"	"temp"	"oxygen"	"miseq.id"	"pseudoprod"	"protein.source"	"texture"	"treatment"	"atmosphere"	"freezing"	"daysleft"	"freshness"	"centered_cooking_time_clustered"	"bbd_exp"	"additional_recommendation"	"colony_density"	"after_opening_clustered"	"profile"	"profilelong"	"no.ingredients"	"group"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"A1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B8"	"C1"	"C3"	"A2"	"C5"	"C6"	"C8"	"D1"	"D2"	"D3"	"D4"	"D5"	"A3"	"D6"	"D7"	"D8"	"A4"	"A5"	"A6"	"A7"	"A8"
"1"	"17.27F"	"996a5c7a9d6ffed42945becd526d3307"	"A7"	"tsa"	25	"aerobic"	"Veggie7"	"producer 2"	"pea"	"minced"	"unclear"	"MAP"	"notfrozen"	13	"f"	"<3 min"	"best before date"	"no rec."	"high"	"0"	"Le"	"Leuconostocaceae"	14	"pea-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	NA	0	0	0	0	0	0	0	0	0	0	0.262078651685393	0	0.000778967867575463	0	0	0	0	0	0	0	0	0	0	0.00562851782363977	0	0.107981220657277	0
"2"	"22.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"mrs"	25	"aerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"3"	"27.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C8"	"tsa"	25	"aerobic"	"Veggie24"	"producer 8"	"soy"	"fibrous"	"unclear"	"MAP"	"notfrozen"	8	"f"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"0"	"La"	"Lactobacillus"	23	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"4"	"37.27F"	"996a5c7a9d6ffed42945becd526d3307"	"C5"	"coryne"	25	"aerobic"	"Veggie21"	"producer 7"	"soy"	"fibrous"	"pre-heated"	"MAP"	"notfrozen"	0	"o"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"no rec."	"Le"	"Leuconostocaceae"	14	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	NA	0	0	0	0	0	0	0	0	0	0	0.262078651685393	0	0.000778967867575463	0	0	0	0	0	0	0	0	0	0	0.00562851782363977	0	0.107981220657277	0
"5"	"AAB_026.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C3"	"columbia"	37	"anaerobic"	"Veggie19"	"producer 5"	"soy"	"fibrous"	"pre-heated"	"MAP"	"frozen"	10	"f"	"5-8 min"	"expiration date"	"no rec."	"medium"	"no rec."	"La"	"Lactobacillus"	16	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"6"	"AAB_027.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C3"	"columbia"	37	"anaerobic"	"Veggie19"	"producer 5"	"soy"	"fibrous"	"pre-heated"	"MAP"	"frozen"	10	"f"	"5-8 min"	"expiration date"	"no rec."	"medium"	"no rec."	"La"	"Lactobacillus"	16	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"7"	"AABH_010.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"bhi"	37	"anaerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"8"	"AABH_013.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C3"	"bhi"	37	"anaerobic"	"Veggie19"	"producer 5"	"soy"	"fibrous"	"pre-heated"	"MAP"	"frozen"	10	"f"	"5-8 min"	"expiration date"	"no rec."	"medium"	"no rec."	"La"	"Lactobacillus"	16	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"9"	"AAPC_022.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"pca"	37	"anaerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"10"	"AXB_057.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"columbia"	37	"aerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"11"	"AXB_059.27F"	"eae7229c6433807c37836e2f66908325"	"C5"	"columbia"	37	"aerobic"	"Veggie21"	"producer 7"	"soy"	"fibrous"	"pre-heated"	"MAP"	"notfrozen"	0	"o"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"no rec."	"Le"	"Leuconostocaceae"	14	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	"Leuconostoc_citreum"	0	0	0	0	0.00482703137570394	0	0	0	0	0	0.00140449438202247	0	0	0	0	0.0764705882352941	0	0	0	0.00452488687782805	0.445436507936508	0	0	0.00187617260787992	0.00176709666018731	0.00845070422535211	0
"12"	"AXB_075.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"columbia"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"13"	"AXB_080.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"C8"	"columbia"	37	"aerobic"	"Veggie24"	"producer 8"	"soy"	"fibrous"	"unclear"	"MAP"	"notfrozen"	8	"f"	"3-5 min"	"best before date"	"consume only thorougly heated"	"high"	"0"	"La"	"Lactobacillus"	23	"soy-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"14"	"AXB_109.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"columbia"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"15"	"AXB_110.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"columbia"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"16"	"AXBH_029.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B6"	"bhi"	37	"aerobic"	"Veggie14"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	3	"o"	">8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	12	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"17"	"AXBH_051.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"bhi"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"18"	"AXBH_060.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"A5"	"bhi"	37	"aerobic"	"Veggie5"	"producer 2"	"pea"	"minced"	"unclear"	"MAP"	"notfrozen"	14	"f"	"no rec."	"best before date"	"no rec."	"high"	"0"	"Le"	"Leuconostocaceae"	13	"pea-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
"19"	"AXBH_068.27F"	"eae7229c6433807c37836e2f66908325"	"D7"	"bhi"	37	"aerobic"	"Veggie31"	"producer 2"	"pea"	"fibrous"	"unclear"	"MAP"	"notfrozen"	12	"f"	"3-5 min"	"best before date"	"no rec."	"high"	"0"	"Le"	"Leuconostocaceae"	13	"pea-fibrous"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Leuconostoc"	"Leuconostoc_citreum"	0	0	0	0	0.00482703137570394	0	0	0	0	0	0.00140449438202247	0	0	0	0	0.0764705882352941	0	0	0	0.00452488687782805	0.445436507936508	0	0	0.00187617260787992	0.00176709666018731	0.00845070422535211	0
"20"	"AXBH_072.27F"	"fa8c0f7a5b110d2cc46e0e3f557a933b"	"B2"	"bhi"	37	"aerobic"	"Veggie10"	"producer 5"	"soy"	"minced"	"raw"	"MAP"	"frozen"	5	"o"	"5-8 min"	"expiration date"	"consume only thorougly heated"	"high"	"no rec."	"La"	"Lactobacillus"	15	"soy-minced"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Latilactobacillus"	NA	0.000202142712755205	0.428571428571429	0	0.00733901515151515	0.0699919549477072	0.508621982306193	0.0114386273647162	0.00693703308431163	0.74061433447099	0.00545344374873763	0	0.0881849315068493	0.485102239532619	0.00440960313571779	0.479838709677419	0	0	0	0	0.180995475113122	0	0.0382352941176471	0.00223613595706619	0.148217636022514	0.00371090298639336	0	0.111675126903553
