Sample	A1	B2	B3	B4	B5	B6	B8	C1	C3	A2	C4	C5	C6	C8	D1	D2	D3	D4	D5	A3	D6	D7	D8	A4	A5	A6	A7	A8
group	pea-minced	soy-minced	soy-minced	soy-fibrous	soy-fibrous	soy-minced	soy-minced	soy-fibrous	soy-fibrous	pea-minced	soy-fibrous	soy-fibrous	soy-fibrous	soy-fibrous	pea-minced	pea-fibrous	pea-fibrous	pea-fibrous	pea-minced	pea-minced	pea-fibrous	pea-fibrous	pea-fibrous	pea-minced	pea-minced	pea-minced	pea-minced	pea-minced
Unassigned	0	0	0.00621639784946237	0	0.0201126307320998	0	0.11086669599648	0	0	0.00525146435063624	0	0	0.145547945205479	0.00701071080817916	0.00122488975992161	0	0	0	0	0	0	0	0	0.00380143112701252	0	0.00583141897861813	0	0.000846023688663283
Eukaryota	0	0	0.00134408602150538	0	0.00241351568785197	0	0.021997360316762	0	0	0.00161583518481115	0	0	0.035958904109589	0.00155793573515093	0.000244977951984321	0	0	0	0	0	0	0	0	0.00156529516994633	0	0.00123696766213112	0	0.00253807106598985
Bacteria	1	1	0.992439516129032	1	0.977473853580048	1	0.867135943686758	1	1	0.993132700464553	1	1	0.818493150684932	0.99143135345667	0.998530132288094	1	1	1	1	1	1	1	1	0.994633273703041	1	0.992931613359251	1	0.996615905245347
Unassigned|NA	0	0	0.00621639784946237	0	0.0201126307320998	0	0.11086669599648	0	0	0.00525146435063624	0	0	0.145547945205479	0.00701071080817916	0.00122488975992161	0	0	0	0	0	0	0	0	0.00380143112701252	0	0.00583141897861813	0	0.000846023688663283
Eukaryota|NA	0	0	0.00134408602150538	0	0.00241351568785197	0	0.0206775186977563	0	0	0.00161583518481115	0	0	0.0325342465753425	0.00155793573515093	0.000244977951984321	0	0	0	0	0	0	0	0	0.00156529516994633	0	0.00123696766213112	0	0.00253807106598985
Bacteria|NA	0	0	0.000168010752688172	0	0	0	0.0043994720633524	0	0	0	0	0	0	0	0.000244977951984321	0	0	0	0	0	0	0	0	0.000447227191413238	0	0.000530128998056194	0	0
Eukaryota|Ascomycota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Retaria	0	0	0	0	0	0	0.00131984161900572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Phragmoplastophyta	0	0	0	0	0	0	0	0	0	0	0	0	0.00342465753424658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteriota	0	0	0	0.000473484848484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes	0.310491206791995	0.62807881773399	0.0250336021505376	0.111979166666667	0.897827835880933	0.974508921877343	0.0831500219973603	0.216115261472785	0.880830489192264	0.0640274691981418	0.343653250773994	0.918820224719101	0.639554794520548	0.596299902629017	0.133512983831455	0.987903225806452	1	0.996485061511424	1	0.528227398341887	1	0.990079365079365	0.985294117647059	0.374552772808587	0.99812382739212	0.0984272839724333	0.545539906103286	0.846869712351946
Bacteria|Myxococcota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bdellovibrionota	0.00040428542551041	0	0	0.00189393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Desulfobacterota	0	0	0	0	0	0	0	0	0	0	0	0	0.00171232876712329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Proteobacteria	0.638770972306448	0.370935960591133	0.724798387096774	0.711410984848485	0.0764279967819791	0.0215924426450742	0.663880334359877	0.731056563500534	0.0975540386803185	0.91153302363159	0.640866873065015	0.076685393258427	0.17722602739726	0.349172346640701	0.734933855952964	0.0120967741935484	0	0.00351493848857645	0	0.379786814054481	0	0.00992063492063492	0.0147058823529412	0.576923076923077	0.00187617260787992	0.855804912528715	0.453521126760563	0.131979695431472
Bacteria|Verrucomicrobiota	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Deinococcota	0	0	0	0	0	0	0	0.00426894343649947	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Patescibacteria	0.000606428138265616	0	0	0.00142045454545455	0	0	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Dependentiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000176709666018731	0	0
Bacteria|Cyanobacteria	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Abditibacteriota	0	0	0	0	0	0	0	0	0.000568828213879408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bacteroidota	0.048312108348494	0.000985221674876847	0.242271505376344	0.144176136363636	0.00321802091713596	0.000299895036737142	0.112186537615486	0.0106723585912487	0.0065415244596132	0.0171682488386185	0.0154798761609907	0.000842696629213483	0	0.0440116845180136	0.124938755512004	0	0	0	0	0.0911962100276352	0	0	0	0.0411449016100179	0	0.0372857395299523	0.000938967136150235	0.0177664974619289
Bacteria|Elusimicrobiota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota	0.00040428542551041	0	0	0.000236742424242424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Nitrospirota	0	0	0	0	0	0.000149947518368571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Chloroflexi	0	0	0	0	0	0.000299895036737142	0	0	0.000284414106939704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Planctomycetota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Gemmatimonadota	0	0	0	0	0	0	0	0.000533617929562433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Actinobacteriota	0.000606428138265616	0	0.000168010752688172	0.0265151515151515	0	0.00314889788573999	0.00351957765068192	0.0373532550693703	0.0133674630261661	0.000403958796202787	0	0.00365168539325843	0	0.00194741966893866	0.00489955903968643	0	0	0	0	0.000789577575996842	0	0	0	0.00156529516994633	0	0.000530128998056194	0	0
Bacteria|Campylobacterota	0	0	0	0.00189393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unassigned|NA|NA	0	0	0.00621639784946237	0	0.0201126307320998	0	0.11086669599648	0	0	0.00525146435063624	0	0	0.145547945205479	0.00701071080817916	0.00122488975992161	0	0	0	0	0	0	0	0	0.00380143112701252	0	0.00583141897861813	0	0.000846023688663283
Eukaryota|NA|NA	0	0	0.00134408602150538	0	0.00241351568785197	0	0.0206775186977563	0	0	0.00161583518481115	0	0	0.0325342465753425	0.00155793573515093	0.000244977951984321	0	0	0	0	0	0	0	0	0.00156529516994633	0	0.00123696766213112	0	0.00253807106598985
Bacteria|NA|NA	0	0	0.000168010752688172	0	0	0	0.0043994720633524	0	0	0	0	0	0	0	0.000244977951984321	0	0	0	0	0	0	0	0	0.000447227191413238	0	0.000530128998056194	0	0
Eukaryota|Ascomycota|Sordariomycetes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Retaria|Foraminifera	0	0	0	0	0	0	0.00131984161900572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota|Phragmoplastophyta|Embryophyta	0	0	0	0	0	0	0	0	0	0	0	0	0.00342465753424658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Fusobacteriota|Fusobacteriia	0	0	0	0.000473484848484848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Firmicutes|Bacilli	0.309480493228219	0.62807881773399	0.0250336021505376	0.110795454545455	0.897827835880933	0.972559604138551	0.0831500219973603	0.216115261472785	0.880830489192264	0.0640274691981418	0.343653250773994	0.914606741573034	0.639554794520548	0.596299902629017	0.133512983831455	0.987903225806452	1	0.996485061511424	1	0.528227398341887	1	0.990079365079365	0.985294117647059	0.374552772808587	0.99812382739212	0.0963067679802085	0.545539906103286	0.846869712351946
Bacteria|Myxococcota|Polyangia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bdellovibrionota|Oligoflexia	0.000202142712755205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Bdellovibrionota|Bdellovibrionia	0.000202142712755205	0	0	0.00189393939393939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
