"isolate.id"	"sseqid"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"sample.id"	"relAb"	"n"	"iso"
"933"	"no isolate"	"b496881d543f1d7e89d4f15e8fd0d991"	"Bacteria"	"Abditibacteriota"	"Abditibacteria"	"Abditibacteriales"	"Abditibacteriaceae"	"Abditibacterium"	"C3"	0.000568828213879408	0	"noi"
"414"	"no isolate"	"4743afafb58c3a6bb79b7252cc362b4f"	"Bacteria"	"Acidobacteriota"	"Blastocatellia"	"Blastocatellales"	"Blastocatellaceae"	"Blastocatella"	"B4"	0.000236742424242424	0	"noi"
"56"	"no isolate"	"e1a25d0a686ebefc4fd69efdf875517f"	"Bacteria"	"Acidobacteriota"	"Vicinamibacteria"	"Subgroup_17"	"Subgroup_17"	"Subgroup_17"	"A1"	0.00040428542551041	0	"noi"
"415"	"no isolate"	"86d5b64885acffe3ca4d1ae97185efe1"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"CL500-29_marine_group"	"B4"	0.000473484848484848	0	"noi"
"579"	"no isolate"	"2e2c2e263f5583278130cd055698ef70"	"Bacteria"	"Actinobacteriota"	"Acidimicrobiia"	"Microtrichales"	"Ilumatobacteraceae"	"uncultured"	"B6"	0.000149947518368571	0	"noi"
"419"	"no isolate"	"171f505fb51a1ca3afb790ccc1ec5091"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinomyces"	"B4"	0.000710227272727273	0	"noi"
"1156"	"no isolate"	"8a487cfd090555d55c10bd367fedb5ed"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	"C5"	0.00308988764044944	0	"noi"
"819"	"no isolate"	"ce711371e5fb9d8292efb26b50672276"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	"C1"	0.00266808964781217	0	"noi"
"820"	"no isolate"	"4727a20c79e66916dc467b4dc53b52a9"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Gardnerella"	"C1"	0.00373532550693703	0	"noi"
"59"	"no isolate"	"5ff846f0dc6d3870ea1d63fdd3204cbf"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"A1"	0.000202142712755205	0	"noi"
"420"	"no isolate"	"741ac866b21553da5aa3826085152067"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.000473484848484848	0	"noi"
"421"	"no isolate"	"d4de879bf917d2fa87f2ec831ea17a21"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.000236742424242424	0	"noi"
"422"	"no isolate"	"ff6132c69d73ae4155f6fa94e6d2ee23"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.000236742424242424	0	"noi"
"423"	"no isolate"	"ea2e3de90de7df59b856eeed2b543184"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.00118371212121212	0	"noi"
"424"	"no isolate"	"e93510569c42c1d1f08c4eb7afe92174"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.00946969696969697	0	"noi"
"425"	"no isolate"	"51449dda0b8eab819fb42fbd375146b3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.00213068181818182	0	"noi"
"426"	"no isolate"	"dca0ca81a4c536d5bdf874cc1b016543"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.00165719696969697	0	"noi"
"427"	"no isolate"	"f7026be287d2f58a5b23a5be5e4f2c81"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.00189393939393939	0	"noi"
"428"	"no isolate"	"ddc9723e6efa2c12d110a9ce5ab4d0a3"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B4"	0.000236742424242424	0	"noi"
"586"	"no isolate"	"d5322c73b7715c0f23601600ea88592c"	"Bacteria"	"Actinobacteriota"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	"B6"	0.000149947518368571	0	"noi"
