"isolate.id" "sseqid" "pident" "qcovs" "length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore" "overrule" "sample.id" "medium" "temp" "oxygen" "relab"
"1" "17.27F" "996a5c7a9d6ffed42945becd526d3307" 100 40 435 0 0 317 751 1 435 0 804 1 "A7" "tsa" 25 "aerobic" 0.107981220657277
"2" "22.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 340 774 1 435 0 804 1 "B6" "mrs" 25 "aerobic" 0.508621982306193
"3" "27.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 40 435 0 0 338 772 1 435 0 804 1 "C8" "tsa" 25 "aerobic" 0.485102239532619
"4" "37.27F" "996a5c7a9d6ffed42945becd526d3307" 100 44 435 0 0 313 747 1 435 0 804 1 "C5" "coryne" 25 "aerobic" 0.262078651685393
"5" "AAB_026.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 336 770 1 435 0 804 1 "C3" "columbia" 37 "anaerobic" 0.74061433447099
"6" "AAB_027.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 41 435 0 0 336 770 1 435 0 804 1 "C3" "columbia" 37 "anaerobic" 0.74061433447099
"7" "AABH_010.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 50 435 0 0 339 773 1 435 0 804 1 "B6" "bhi" 37 "anaerobic" 0.508621982306193
"8" "AABH_013.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 43 435 0 0 336 770 1 435 0 804 1 "C3" "bhi" 37 "anaerobic" 0.74061433447099
"9" "AAPC_022.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 37 435 0 0 336 770 1 435 0 804 1 "B6" "pca" 37 "anaerobic" 0.508621982306193
"10" "AXB_057.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 41 435 0 0 335 769 1 435 0 804 1 "B6" "columbia" 37 "aerobic" 0.508621982306193
"11" "AXB_059.27F" "eae7229c6433807c37836e2f66908325" 100 42 435 0 0 317 751 1 435 0 804 1 "C5" "columbia" 37 "aerobic" 0.00140449438202247
"12" "AXB_075.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 339 773 1 435 0 804 1 "B2" "columbia" 37 "aerobic" 0.428571428571429
"13" "AXB_080.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 338 772 1 435 0 804 1 "C8" "columbia" 37 "aerobic" 0.485102239532619
"14" "AXB_109.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 44 435 0 0 336 770 1 435 0 804 1 "B2" "columbia" 37 "aerobic" 0.428571428571429
"15" "AXB_110.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 42 435 0 0 334 768 1 435 0 804 1 "B2" "columbia" 37 "aerobic" 0.428571428571429
"16" "AXBH_029.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 336 770 1 435 0 804 1 "B6" "bhi" 37 "aerobic" 0.508621982306193
"17" "AXBH_051.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 41 435 0 0 338 772 1 435 0 804 1 "B2" "bhi" 37 "aerobic" 0.428571428571429
"18" "AXBH_060.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 40 435 0 0 338 772 1 435 0 804 1 "A5" "bhi" 37 "aerobic" 0.148217636022514
"19" "AXBH_068.27F" "eae7229c6433807c37836e2f66908325" 100 39 435 0 0 314 748 1 435 0 804 1 "D7" "bhi" 37 "aerobic" 0.445436507936508
"20" "AXBH_072.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 337 771 1 435 0 804 1 "B2" "bhi" 37 "aerobic" 0.428571428571429
"21" "AXBP_021.27F" "eae7229c6433807c37836e2f66908325" 100 37 435 0 0 310 744 1 435 0 804 1 "C5" "bairdparker" 37 "aerobic" 0.00140449438202247
"22" "AXPC_005.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 339 773 1 435 0 804 1 "C3" "pca" 37 "aerobic" 0.74061433447099
"23" "AXPC_017.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 338 772 1 435 0 804 1 "C8" "pca" 37 "aerobic" 0.485102239532619
"24" "AXPC_025.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 339 773 1 435 0 804 1 "B2" "pca" 37 "aerobic" 0.428571428571429
"25" "AXPC_026.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 42 435 0 0 336 770 1 435 0 804 1 "B2" "pca" 37 "aerobic" 0.428571428571429
"26" "AXPC_041.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 336 770 1 435 0 804 1 "B6" "pca" 37 "aerobic" 0.508621982306193
"27" "FR_AXB_010.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 100 39 435 0 0 335 769 1 435 0 804 1 "C3" "columbia" 37 "aerobic" 0.74061433447099
"28" "10.27F" "940413b6781f4759dae7763613bed032" 100 39 435 0 0 305 739 1 435 0 804 0 "A4" "nutrient" 25 "aerobic" 0.00715563506261181
"29" "11.27F" "0a8db22a9d9bc03ae4aa272d275d38d1" 100 40 435 0 0 302 736 1 435 0 804 0 "A4" "gsp" 25 "aerobic" 0.0507602862254025
"30" "12.27F" "6294929bd61a09b932614f93a4745198" 100 39 435 0 0 309 743 1 435 0 804 0 "A4" "gsp" 25 "aerobic" 0.0201252236135957
"31" "13.27F" "a024e61a9c9af995832ad2f9d7b69be9" 100 38 435 0 0 316 750 1 435 0 804 0 "A4" "gsp" 25 "aerobic" 0.176654740608229
"32" "14.27F" "855f6d2dc84214e67150b2581a82aef4" 100 39 435 0 0 322 756 1 435 0 804 0 "A4" "gsp" 25 "aerobic" 0.0174418604651163
"33" "15.27F" "855f6d2dc84214e67150b2581a82aef4" 100 39 435 0 0 321 755 1 435 0 804 0 "A4" "gsp" 25 "aerobic" 0.0174418604651163
"34" "16.27F" "6294929bd61a09b932614f93a4745198" 100 39 435 0 0 312 746 1 435 0 804 0 "A4" "marine" 25 "aerobic" 0.0201252236135957
"35" "16a.27F" "83918a255a9e44e2ae8d9961bfbeb58a" 100 41 435 0 0 318 752 1 435 0 804 0 "A4" "luriabertani" 25 "aerobic" 0.00111806797853309
"36" "18.27F" "ec4c96450c8cc16054c510a78cb83ec7" 100 40 435 0 0 318 752 1 435 0 804 0 "A7" "tsa" 25 "aerobic" 0.323004694835681
"37" "19.27F" "fa8c0f7a5b110d2cc46e0e3f557a933b" 99.314 41 437 1 2 340 776 1 435 0 789 0 "A7" "gsp" 25 "aerobic" 0
"38" "2.27F" "83918a255a9e44e2ae8d9961bfbeb58a" 100 40 435 0 0 317 751 1 435 0 804 0 "A1" "tsa" 25 "aerobic" 0.0339599757428745
"39" "20.27F" "ec4c96450c8cc16054c510a78cb83ec7" 100 40 435 0 0 317 751 1 435 0 804 0 "A8" "nutrient" 25 "aerobic" 0.651438240270728
"40" "21.27F" "0f939388c63ff5bc01a431a59c02aa8b" 100 38 435 0 0 313 747 1 435 0 804 0 "A8" "gsp" 25 "aerobic" 0
"41" "23.27F" "996a5c7a9d6ffed42945becd526d3307" 100 39 435 0 0 315 749 1 435 0 804 0 "C6" "coryne" 25 "aerobic" 0
"42" "25.27F" "a024e61a9c9af995832ad2f9d7b69be9" 100 37 435 0 0 320 754 1 435 0 804 0 "C6" "coryne" 25 "aerobic" 0.0316780821917808
"43" "26.27F" "ec4c96450c8cc16054c510a78cb83ec7" 100 45 435 0 0 315 749 1 435 0 804 0 "C6" "coryne" 25 "aerobic" 0.519691780821918
"44" "28.27F" "ec4c96450c8cc16054c510a78cb83ec7" 100 40 435 0 0 314 748 1 435 0 804 0 "D1" "nutrient" 25 "aerobic" 0.0436060754532092
"45" "3.27F" "ec4c96450c8cc16054c510a78cb83ec7" 100 38 435 0 0 315 749 1 435 0 804 0 "A1" "mrs" 25 "aerobic" 0
"46" "34.27F" "cac497501d1893a4a351c5ded81e2adc" 100 39 435 0 0 341 775 1 435 0 804 0 "D3" "mrs" 25 "aerobic" 0.752941176470588
